Tên trung tâm,Màu
TRUNG TAM AO,#77DD77
TRUNG TAM DOANH THU,#89CFF0
TRUNG TAM HO TRO SAN PHAM,#B39EB5
TRUNG TAM HO TRO TRUC TIEP,#FDFD96
TRUNG TAM QUAN LY CHUNG CHI NHANH,#FFB347
TRUNG TAM QUAN LY CHUNG KHOI KINH DOANH,#ECC8EC
SP_20,#CBF3D2
SP_21,#FFE5B4
SP_22,#CFCFC4
SP_23,#FF6961
SP_24,#B0E0E6
SP_25,#CB99C9
SP_26,#D1E8E2
SP_27,#FAD5A5
SP_28,#89CFF0
SP_29,#B39EB5
SP_99,#FFD1DC
BO PHAN CHUNG,#77DD77
KHACH HANG AO KHOI BAN BUON,#89CFF0
KHACH HANG CA NHAN THAN THIET,#B39EB5
KHACH HANG CA NHAN THONG THUONG,#FDFD96
KHACH HANG CA NHAN VIP,#FFB347
KHACH HANG DINH CHE TAI CHINH,#ECC8EC
KHACH HANG DOANH NGHIEP CO VON DAU TU NUOC NGOAI (FIE),#CBF3D2
KHACH HANG DOANH NGHIEP LON,#FFE5B4
KHACH HANG DOANH NGHIEP QUY MO SIEU NHO (ME),#CFCFC4
KHACH HANG DOANH NGHIEP VUA VA NHO (SMEs),#FF6961
KHACH HANG KHAC,#B0E0E6
KHACH HANG KINH DOANH VON VA TIEN TE,#CB99C9
KHACH HANG NGUON VON UY THAC QUOC TE,#D1E8E2
KHACH HANG DAU TU,#FAD5A5
SO NGAN HANG,#89CFF0
UNALLOCABLE,#B39EB5
CNTT,#77DD77
TSC,#89CFF0
KHOI CHI NHANH,#CFCFC4

