LEVEL_06_CODE ,TÊN GỐC,Tên khối
7199,,
117000071000,Trung tâm CNTT,KHOI HO TRO
117000071764,Trung tâm CNTT,KHOI HO TRO
117200071000,Trung tâm CNTT,KHOI HO TRO
117400071000,Trung tâm CNTT,KHOI HO TRO
117400071751,Trung tâm CNTT,KHOI HO TRO
117400071752,Trung tâm CNTT,KHOI HO TRO
117400071753,Trung tâm CNTT,KHOI HO TRO
117400071754,Trung tâm CNTT,KHOI HO TRO
117400071757,Trung tâm CNTT,KHOI HO TRO
117400071758,Trung tâm CNTT,KHOI HO TRO
117400071759,Trung tâm CNTT,KHOI HO TRO
117400071760,Trung tâm CNTT,KHOI HO TRO
117400071761,Trung tâm CNTT,KHOI HO TRO
117400071764,Trung tâm CNTT,KHOI HO TRO
117400071950,Trung tâm CNTT,KHOI HO TRO
117400071999,Trung tâm CNTT,KHOI HO TRO
7299,Viện ĐTNC,
117500072000,Viện ĐTNC,KHOI HO TRO
117500072770,Viện ĐTNC,KHOI HO TRO
117500072771,Viện ĐTNC,KHOI HO TRO
117500072773,Viện ĐTNC,KHOI HO TRO
117500072774,Viện ĐTNC,KHOI HO TRO
117500072775,Viện ĐTNC,KHOI HO TRO
117500072776,Viện ĐTNC,KHOI HO TRO
117500072777,Viện ĐTNC,KHOI HO TRO
117500072778,Viện ĐTNC,KHOI HO TRO
117500072782,Viện ĐTNC,KHOI HO TRO
7399,Văn phòng đại diện Đà Nẵng,
117500073000,,KHOI HO TRO
117500073680,,KHOI HO TRO
117500073745,,KHOI HO TRO
117500073746,,KHOI HO TRO
117500073747,,KHOI HO TRO
7499,Văn phòng đại diện Cần Thơ,
117500074000,,KHOI HO TRO
13199,Văn phòng đại diện HCM,
117500131000,Văn phòng đại diện HCM,KHOI HO TRO
117500131016,Văn phòng đại diện HCM,KHOI HO TRO
117500131030,Văn phòng đại diện HCM,KHOI HO TRO
117500131140,Văn phòng đại diện HCM,KHOI HO TRO
117500131210,Văn phòng đại diện HCM,KHOI HO TRO
117500131310,Văn phòng đại diện HCM,KHOI HO TRO
117500131340,Văn phòng đại diện HCM,KHOI HO TRO
117500131410,Văn phòng đại diện HCM,KHOI HO TRO
117500131470,Văn phòng đại diện HCM,KHOI HO TRO
117500131652,Văn phòng đại diện HCM,KHOI HO TRO
117500131653,Văn phòng đại diện HCM,KHOI HO TRO
117500131680,Văn phòng đại diện HCM,KHOI HO TRO
117500131710,Văn phòng đại diện HCM,KHOI HO TRO
117500131720,Văn phòng đại diện HCM,KHOI HO TRO
117500131740,Văn phòng đại diện HCM,KHOI HO TRO
117500131741,Văn phòng đại diện HCM,KHOI HO TRO
117500131742,Văn phòng đại diện HCM,KHOI HO TRO
117500131760,Văn phòng đại diện HCM,KHOI HO TRO
87899,,
99099,,
99199,,
99899,,
110100990250,Ban Quản lý đầu tư,KHOI DAU TU
110300990000,,KHOI DAU TU
111000990012,Ban Tài trợ dự án,KHOI BAN BUON
111000990016,Ban Khách hàng doanh nghiệp,KHOI BAN BUON
111000990040,Ban Định chế tài chính,KHOI BAN BUON
111100990012,Ban Tài trợ dự án,KHOI BAN BUON
111100990016,Ban Khách hàng doanh nghiệp,KHOI BAN BUON
111100990040,Ban Định chế tài chính,KHOI BAN BUON
111300990000,,KHOI BAN BUON
111300990012,Ban Tài trợ dự án,KHOI BAN BUON
111300990015,Ban Chính sách SP bán buôn,KHOI BAN BUON
111300990016,Ban Khách hàng doanh nghiệp,KHOI BAN BUON
111300990030,Ban KHDN nước ngoài,KHOI BAN BUON
111300990070,Ban Nguồn vốn ủy thác quốc tế,KHOI BAN BUON
111400990012,Ban Tài trợ dự án,KHOI BAN BUON
111400990040,Ban Định chế tài chính,KHOI BAN BUON
111500990017,Ban QLDA NHĐT cho KHTC,KHOI BAN BUON
111500990018,Ban QLDA SCF,KHOI BAN BUON
111500990040,Ban Định chế tài chính,KHOI BAN BUON
112000990110,Ban Khách hàng bán lẻ,KHOI BAN LE
112000990130,Ban Sản phẩm bán lẻ,KHOI BAN LE
112000990140,Trung tâm Thẻ và vận hành,KHOI BAN LE
112000990180,Trung tâm Chăm sóc khách hàng,KHOI BAN LE
112100990180,Trung tâm Chăm sóc khách hàng,KHOI BAN LE
112100990190,TT Khách hàng cá nhân cao cấp,KHOI BAN LE
112100999190,TT Khách hàng cá nhân cao cấp,KHOI BAN LE
112200990110,Ban Khách hàng bán lẻ,KHOI BAN LE
112200990130,Ban Sản phẩm bán lẻ,KHOI BAN LE
112300990000,,KHOI BAN LE
112300990110,Ban Khách hàng bán lẻ,KHOI BAN LE
112300990130,Ban Sản phẩm bán lẻ,KHOI BAN LE
112300990140,Trung tâm Thẻ và vận hành,KHOI BAN LE
112400990180,Trung tâm Chăm sóc khách hàng,KHOI BAN LE
112500990180,Trung tâm Chăm sóc khách hàng,KHOI BAN LE
112500990192,Ban QLDA XD HT CRM toàn hàng,KHOI BAN LE
113000990210,Ban Kinh doanh vốn và tiền tệ,KHOI KINH DOANH VON VA TIEN TE
113300990000,,KHOI KINH DOANH VON VA TIEN TE
113400990210,Ban Kinh doanh vốn và tiền tệ,KHOI KINH DOANH VON VA TIEN TE
114200990330,Ban Quản lý rủi ro toàn hàng,KHOI QUAN LY RUI RO
114200990340,Trung tâm Xử lý nợ,KHOI QUAN LY RUI RO
114500990320,Ban QLRR hoạt động và TT,KHOI QUAN LY RUI RO
115000990430,Trung tâm Dịch vụ khách hàng,KHOI TAC NGHIEP
115200990410,Trung tâm Tác nghiệp TTTM,KHOI TAC NGHIEP
115200990420,Trung tâm Thanh toán,KHOI TAC NGHIEP
115200990430,Trung tâm Dịch vụ khách hàng,KHOI TAC NGHIEP
115500990430,Trung tâm Dịch vụ khách hàng,KHOI TAC NGHIEP
115500990460,Trung tâm QL DV kho quỹ,KHOI TAC NGHIEP
115500990470,Trung tâm DVKQ phía Nam,KHOI TAC NGHIEP
115500998460,Trung tâm QL DV kho quỹ,KHOI TAC NGHIEP
116000990530,Ban Hỗ trợ ALCO,KHOI TAI CHINH-KE TOAN
116500990510,Ban Tài chính,KHOI TAI CHINH-KE TOAN
116500990530,Ban Hỗ trợ ALCO,KHOI TAI CHINH-KE TOAN
116500990540,Ban Kế toán,KHOI TAI CHINH-KE TOAN
116500990560,Ban Kế hoạch,KHOI TAI CHINH-KE TOAN
117400990690,Văn Phòng,KHOI HO TRO
117500990601,Ban Tổ chức nhân sự,KHOI HO TRO
117500990620,Ban Quản lý tài sản nội ngành,KHOI HO TRO
117500990621,TT Mua sắm tập trung,KHOI HO TRO
117500990640,Ban Truyền thông - Thương hiệu,KHOI HO TRO
117500990651,Ban Quản lý dự án 1,KHOI HO TRO
117500990652,Ban Quản lý dự án 2,KHOI HO TRO
117500990670,Ban Kiểm toán nội bộ,KHOI HO TRO
117500990730,,KHOI HO TRO
117500990790,Ban Thư ký HĐQT và QH cổ đông,KHOI HO TRO
117500990791,Ban Quản trị chiến lược,KHOI HO TRO
117500990792,Ban Chính sách và GS hệ thống,KHOI HO TRO
117500990999,,KHOI HO TRO
117500992000,,KHOI HO TRO
117500993000,,KHOI HO TRO
118100990530,Ban Hỗ trợ ALCO,TRUNG TAM VON
118200990530,Ban Hỗ trợ ALCO,TRUNG TAM VON
119000878000,,BO PHAN CHUNG
119000990000,,BO PHAN CHUNG
119000998000,,BO PHAN CHUNG
119000999000,TT Khách hàng cá nhân cao cấp,BO PHAN CHUNG
119500990818,,BO PHAN CHUNG
119500990838,,BO PHAN CHUNG
119500990848,,BO PHAN CHUNG
119500990858,,BO PHAN CHUNG
119500990868,,BO PHAN CHUNG
119500990878,,BO PHAN CHUNG
119500990888,,BO PHAN CHUNG
120500990910,HỘI ĐỒNG QUẢN TRỊ,BAN LANH DAO
120500990920,KẾ TOÁN TRƯỞNG,BAN LANH DAO
120500990930,BAN KIỂM SOÁT THUỘC ĐHĐCĐ,BAN LANH DAO
120500990940,CHUYÊN GIA KINH TẾ TRƯỞNG,BAN LANH DAO
121500990830,Ban Kiểm tra và giám sát TT,KHOI GIAM SAT VA TUAN THU
121500990831,Ban Pháp Chế,KHOI GIAM SAT VA TUAN THU
122200990220,TT Phát triển Ngân hàng số,KHOI CNTT VA NGAN HANG SO
122400990221,Ban Công nghệ,KHOI CNTT VA NGAN HANG SO
122500990222,Ban QLDA Corebanking,KHOI CNTT VA NGAN HANG SO
122500990223,TT Quản trị dữ liệu,KHOI CNTT VA NGAN HANG SO
123500990840,Ban Tổ chức Đảng ủy,KHOI DANG-DOAN THE
123500990841,Ban Tuyên giáo Đảng ủy,KHOI DANG-DOAN THE
123500990842,Cơ quan UB Kiểm tra Đảng ủy,KHOI DANG-DOAN THE
123500990843,Văn phòng Đảng ủy,KHOI DANG-DOAN THE
123500990844,Cơ quan Công đoàn BIDV,KHOI DANG-DOAN THE
123500990845,Cơ quan Đoàn thanh niên BIDV,KHOI DANG-DOAN THE
124200990310,TT Thẩm định và phê duyệt,KHOI THAM DINH VA PHE DUYET
124200990311,TT Định giá tài sản BIDV,KHOI THAM DINH VA PHE DUYET
1122009901401,Trung tâm Thẻ và vận hành,KHOI BAN LE
1122009901402,Trung tâm Thẻ và vận hành,KHOI BAN LE
1131009902101,Ban Kinh doanh vốn và tiền tệ,KHOI KINH DOANH VON VA TIEN TE
1131009902102,Ban Kinh doanh vốn và tiền tệ,KHOI KINH DOANH VON VA TIEN TE
99699,,
110100996250,Ban Quản lý đầu tư,KHOI DAU TU
111000996012,Ban Tài trợ dự án,KHOI BAN BUON
111000996016,Ban Khách hàng doanh nghiệp,KHOI BAN BUON
111000996040,Ban Định chế tài chính,KHOI BAN BUON
111100996012,Ban Tài trợ dự án,KHOI BAN BUON
111100996016,Ban Khách hàng doanh nghiệp,KHOI BAN BUON
111100996040,Ban Định chế tài chính,KHOI BAN BUON
111300996012,Ban Tài trợ dự án,KHOI BAN BUON
111300996015,Ban Chính sách SP bán buôn,KHOI BAN BUON
111300996016,Ban Khách hàng doanh nghiệp,KHOI BAN BUON
111300996030,Ban KHDN nước ngoài,KHOI BAN BUON
111300996070,Ban Nguồn vốn ủy thác quốc tế,KHOI BAN BUON
111400996012,Ban Tài trợ dự án,KHOI BAN BUON
111400996040,Ban Định chế tài chính,KHOI BAN BUON
111500996017,Ban QLDA NHĐT cho KHTC,KHOI BAN BUON
111500996018,Ban QLDA SCF,KHOI BAN BUON
111500996040,Ban Định chế tài chính,KHOI BAN BUON
112000996110,Ban Khách hàng bán lẻ,KHOI BAN LE
112000996130,Ban Sản phẩm bán lẻ,KHOI BAN LE
112000996140,Trung tâm Thẻ và vận hành,KHOI BAN LE
112000996180,Trung tâm Chăm sóc khách hàng,KHOI BAN LE
112100996180,Trung tâm Chăm sóc khách hàng,KHOI BAN LE
112100996190,TT Khách hàng cá nhân cao cấp,KHOI BAN LE
112200996110,Ban Khách hàng bán lẻ,KHOI BAN LE
112200996130,Ban Sản phẩm bán lẻ,KHOI BAN LE
112300996110,Ban Khách hàng bán lẻ,KHOI BAN LE
112300996130,Ban Sản phẩm bán lẻ,KHOI BAN LE
112300996140,Trung tâm Thẻ và vận hành,KHOI BAN LE
112400996180,Trung tâm Chăm sóc khách hàng,KHOI BAN LE
112500996180,Trung tâm Chăm sóc khách hàng,KHOI BAN LE
112500996192,Ban QLDA XD HT CRM toàn hàng,KHOI BAN LE
113000996210,Ban Kinh doanh vốn và tiền tệ,KHOI KINH DOANH VON VA TIEN TE
113400996210,Ban Kinh doanh vốn và tiền tệ,KHOI KINH DOANH VON VA TIEN TE
114200996330,Ban Quản lý rủi ro toàn hàng,KHOI QUAN LY RUI RO
114200996340,Trung tâm Xử lý nợ,KHOI QUAN LY RUI RO
114500996320,Ban QLRR hoạt động và TT,KHOI QUAN LY RUI RO
115000996430,Trung tâm Dịch vụ khách hàng,KHOI TAC NGHIEP
115200996410,Trung tâm Tác nghiệp TTTM,KHOI TAC NGHIEP
115200996420,Trung tâm Thanh toán,KHOI TAC NGHIEP
115200996430,Trung tâm Dịch vụ khách hàng,KHOI TAC NGHIEP
115500996430,Trung tâm Dịch vụ khách hàng,KHOI TAC NGHIEP
115500996460,Trung tâm QL DV kho quỹ,KHOI TAC NGHIEP
115500996470,Trung tâm DVKQ phía Nam,KHOI TAC NGHIEP
116000996530,Ban Hỗ trợ ALCO,KHOI TAI CHINH-KE TOAN
116500996510,Ban Tài chính,KHOI TAI CHINH-KE TOAN
116500996530,Ban Hỗ trợ ALCO,KHOI TAI CHINH-KE TOAN
116500996540,Ban Kế toán,KHOI TAI CHINH-KE TOAN
116500996560,Ban Kế hoạch,KHOI TAI CHINH-KE TOAN
117400996690,Văn Phòng,KHOI HO TRO
117400996750,,KHOI HO TRO
117500996601,Ban Tổ chức nhân sự,KHOI HO TRO
117500996620,Ban Quản lý tài sản nội ngành,KHOI HO TRO
117500996621,TT Mua sắm tập trung,KHOI HO TRO
117500996640,Ban Truyền thông - Thương hiệu,KHOI HO TRO
117500996651,Ban Quản lý dự án 1,KHOI HO TRO
117500996652,Ban Quản lý dự án 2,KHOI HO TRO
117500996670,Ban Kiểm toán nội bộ,KHOI HO TRO
117500996730,,KHOI HO TRO
117500996790,Ban Thư ký HĐQT và QH cổ đông,KHOI HO TRO
117500996791,Ban Quản trị chiến lược,KHOI HO TRO
117500996792,Ban Chính sách và GS hệ thống,KHOI HO TRO
117500996999,,KHOI HO TRO
118100996530,Ban Hỗ trợ ALCO,TRUNG TAM VON
118200996530,Ban Hỗ trợ ALCO,TRUNG TAM VON
119000996000,,BO PHAN CHUNG
119500996818,,BO PHAN CHUNG
119500996838,,BO PHAN CHUNG
119500996848,,BO PHAN CHUNG
119500996858,,BO PHAN CHUNG
119500996868,,BO PHAN CHUNG
119500996878,,BO PHAN CHUNG
119500996888,,BO PHAN CHUNG
120500996910,HỘI ĐỒNG QUẢN TRỊ,BAN LANH DAO
120500996920,KẾ TOÁN TRƯỞNG,BAN LANH DAO
120500996930,BAN KIỂM SOÁT THUỘC ĐHĐCĐ,BAN LANH DAO
120500996940,CHUYÊN GIA KINH TẾ TRƯỞNG,BAN LANH DAO
