Driver_type,FROM_ORG_UNIT_ID,FROM_COST_TYPE_ID,TO_COST_TYPE_ID,TO_ORG_UNIT_ID,VALUE,V_MAKER_REMARKS
CPTTPB,7199,99,9910,117200071000,0.37,
CPTTPB,7199,99,9910,117400071000,0.63,
CPTTPB,117000071000,99,9910,117200071000,0.37,
CPTTPB,117000071000,99,9910,117400071000,0.63,
CPTTPB,117000071764,99,9910,117200071000,0.37,
CPTTPB,117000071764,99,9910,117400071000,0.63,
CPTTPB,117500131760,99,9910,117200071000,0.37,
CPTTPB,117500131760,99,9910,117400071000,0.63,
CPTTPB,117400996750,99,9910,117200071000,0.37,
CPTTPB,117400996750,99,9910,117400071000,0.63,
CPTTPB,7299,99,9908,117500072000,1.0,
CPTTPB,7399,99,9908,117500073000,1.0,
CPTTPB,13199,99,9908,117500131000,1.0,
CPTTPB,99099,99,9908,99099,1.0,
CPTTPB,99199,99,9908,99199,1.0,
CPTTPB,99699,99,9908,99699,1.0,
CPTTPB,99899,99,9908,115500998460,1.0,
CPTTPB,115500998460,99,9908,115500998460,1.0,
CPTTPB,117500072000,99,9908,117500072000,1.0,
CPTTPB,117500072782,99,9908,117500072000,1.0,
CPTTPB,117500073000,99,9908,117500073000,1.0,
CPTTPB,117500074000,99,9908,117500074000,1.0,
CPTTPB,117500131000,99,9908,117500131000,1.0,
CPTTPB,117500131340,99,9908,114200996340,1.0,
CPTTPB,117500131470,99,9908,115500998460,1.0,
CPTTPB,117500131652,99,9908,117500996652,1.0,
CPTTPB,117500131653,99,9908,117500996652,1.0,
CPTTPB,117500131720,99,9908,117500131000,1.0,
CPTTPB,117500131740,99,9908,117500131000,1.0,
CPTTPB,117500131741,99,9908,117500131000,1.0,
CPTTPB,117500131742,99,9908,117500131000,1.0,
CPTTPB,117500992000,99,9908,117500996652,1.0,
CPTTPB,117500993000,99,9908,117500996651,1.0,
CPTTPB,111000990040,99,9908,111500996040,0.23,
CPTTPB,112000990180,99,9908,112500996180,0.978,
CPTTPB,122500990223,99,9908,122500996223,1.0,
CPTTPB,124200990310,99,9908,124200996310,1.0,
CPTTPB,124200990311,99,9908,124200996311,1.0,
CPTTPB,115000990430,99,9908,115500996430,0.4151,
CPTTPB,115500990460,99,9908,115500996460,1.0,
CPTTPB,115500990470,99,9908,115500998460,1.0,
CPTTPB,116500990510,99,9908,116500996510,1.0,
CPTTPB,116000990530,99,9908,116500996530,1.0,
CPTTPB,116000990530,99,9908,118200996530,0.0,
CPTTPB,116500990540,99,9908,116500996540,1.0,
CPTTPB,116500990560,99,9908,116500996560,1.0,
CPTTPB,117500990601,99,9908,117500996601,1.0,
CPTTPB,117500990620,99,9908,117500996620,1.0,
CPTTPB,117500990640,99,9908,117500996640,1.0,
CPTTPB,117500990651,99,9908,117500996651,1.0,
CPTTPB,117500990652,99,9908,117500996652,1.0,
CPTTPB,117500990670,99,9908,117500996670,1.0,
CPTTPB,117500990730,99,9908,117500996730,1.0,
CPTTPB,117500990790,99,9908,117500996790,1.0,
CPTTPB,117500990791,99,9908,117500996791,1.0,
CPTTPB,117500990792,99,9908,117500996792,1.0,
CPTTPB,119500990818,99,9908,119500996818,1.0,
CPTTPB,121500990830,99,9908,121500996830,1.0,
CPTTPB,121500990831,99,9908,121500996831,1.0,
CPTTPB,119500990838,99,9908,119500996838,1.0,
CPTTPB,123500990840,99,9908,123500996840,1.0,
CPTTPB,123500990841,99,9908,123500996841,1.0,
CPTTPB,123500990842,99,9908,123500996842,1.0,
CPTTPB,123500990843,99,9908,123500996843,1.0,
CPTTPB,123500990844,99,9908,123500996844,1.0,
CPTTPB,123500990845,99,9908,123500996845,1.0,
CPTTPB,119500990848,99,9908,119500996848,1.0,
CPTTPB,119500990858,99,9908,119500996858,1.0,
CPTTPB,119500990868,99,9908,119500996868,1.0,
CPTTPB,119500990878,99,9908,119500996878,1.0,
CPTTPB,119500990888,99,9908,119500996888,1.0,
CPTTPB,120500990910,99,9908,120500996910,1.0,
CPTTPB,120500990920,99,9908,120500996920,1.0,
CPTTPB,120500990930,99,9908,120500996930,1.0,
CPTTPB,120500990940,99,9908,117500072000,1.0,
CPTTPB,117500990999,99,9908,117500990999,1.0,
CPTTPB,111000996040,99,9908,111500996040,0.23,
CPTTPB,112000996180,99,9908,112500996180,1.0,
CPTTPB,122500996223,99,9908,122500996223,1.0,
CPTTPB,124200996310,99,9908,124200996310,1.0,
CPTTPB,124200996311,99,9908,124200996311,1.0,
CPTTPB,115000996430,99,9908,115500996430,0.4151,
CPTTPB,115500996460,99,9908,115500996460,1.0,
CPTTPB,115500996470,99,9908,115500998460,1.0,
CPTTPB,116500996510,99,9908,116500996510,1.0,
CPTTPB,116000996530,99,9908,116500996530,1.0,
CPTTPB,116000996530,99,9908,118200996530,0.0,
CPTTPB,116500996540,99,9908,116500996540,1.0,
CPTTPB,116500996560,99,9908,116500996560,1.0,
CPTTPB,117500996601,99,9908,117500996601,1.0,
CPTTPB,117500996620,99,9908,117500996620,1.0,
CPTTPB,117500996640,99,9908,117500996640,1.0,
CPTTPB,117500996651,99,9908,117500996651,1.0,
CPTTPB,117500996652,99,9908,117500996652,1.0,
CPTTPB,117500996670,99,9908,117500996670,1.0,
CPTTPB,117500996730,99,9908,117500996730,1.0,
CPTTPB,117500996790,99,9908,117500996790,1.0,
CPTTPB,117500996791,99,9908,117500996791,1.0,
CPTTPB,117500996792,99,9908,117500996792,1.0,
CPTTPB,119500996818,99,9908,119500996818,1.0,
CPTTPB,121500996830,99,9908,121500996830,1.0,
CPTTPB,121500996831,99,9908,121500996831,1.0,
CPTTPB,119500996838,99,9908,119500996838,1.0,
CPTTPB,123500996840,99,9908,123500996840,1.0,
CPTTPB,123500996841,99,9908,123500996841,1.0,
CPTTPB,123500996842,99,9908,123500996842,1.0,
CPTTPB,123500996843,99,9908,123500996843,1.0,
CPTTPB,123500996844,99,9908,123500996844,1.0,
CPTTPB,123500996845,99,9908,123500996845,1.0,
CPTTPB,119500996848,99,9908,119500996848,1.0,
CPTTPB,119500996858,99,9908,119500996858,1.0,
CPTTPB,119500996868,99,9908,119500996868,1.0,
CPTTPB,119500996878,99,9908,119500996878,1.0,
CPTTPB,119500996888,99,9908,119500996888,1.0,
CPTTPB,120500996910,99,9908,120500996910,1.0,
CPTTPB,120500996920,99,9908,120500996920,1.0,
CPTTPB,120500996930,99,9908,120500996930,1.0,
CPTTPB,120500996940,99,9908,117500072000,1.0,
CPTTPB,117500996999,99,9908,117500996999,1.0,
CPTTPB,7499,99,9909,117500074000,1.0,
CPTTPB,117500131210,99,9909,113400996210,0.012700000000000001,
CPTTPB,111000990012,99,9909,111400996012,0.1,
CPTTPB,111000990040,99,9909,111400996040,0.0,
CPTTPB,113000990210,99,9909,113400996210,0.0237,
CPTTPB,122400990221,99,9909,122400996221,1.0,
CPTTPB,117400990690,99,9909,117400996690,1.0,
CPTTPB,111000996012,99,9909,111400996012,0.1,
CPTTPB,111000996040,99,9909,111400996040,0.0,
CPTTPB,113000996210,99,9909,113400996210,0.012700000000000001,
CPTTPB,122400996221,99,9909,122400996221,1.0,
CPTTPB,117400996690,99,9909,117400996690,1.0,
CPTTPB,11199,99,9901,11199,1.0,
CPTTPB,11699,99,9901,11699,1.0,
CPTTPB,11799,99,9901,11799,1.0,
CPTTPB,11899,99,9901,11899,1.0,
CPTTPB,11999,99,9901,11999,1.0,
CPTTPB,12099,99,9901,12099,1.0,
CPTTPB,12199,99,9901,12199,1.0,
CPTTPB,12299,99,9901,12299,1.0,
CPTTPB,12399,99,9901,12399,1.0,
CPTTPB,12499,99,9901,12499,1.0,
CPTTPB,12599,99,9901,12599,1.0,
CPTTPB,12699,99,9901,12699,1.0,
CPTTPB,12899,99,9901,12899,1.0,
CPTTPB,12999,99,9901,12999,1.0,
CPTTPB,13099,99,9901,13099,1.0,
CPTTPB,13299,99,9901,13299,1.0,
CPTTPB,13399,99,9901,13399,1.0,
CPTTPB,13499,99,9901,13499,1.0,
CPTTPB,13599,99,9901,13599,1.0,
CPTTPB,13699,99,9901,13699,1.0,
CPTTPB,13899,99,9901,13899,1.0,
CPTTPB,13999,99,9901,13999,1.0,
CPTTPB,14099,99,9901,14099,1.0,
CPTTPB,14199,99,9901,14199,1.0,
