LEVEL_01_CODE,LEVEL_01_NAME,LEVEL_02_CODE,LEVEL_02_NAME,LEVEL_03_CODE,LEVEL_03_NAME,LEVEL_04_CODE,LEVEL_04_NAME,LEVEL_05_CODE,LEVEL_05_NAME,LEVEL_06_CODE,LEVEL_06_NAME,Ghi chú phân loại phòng,Mã CRA,mã 6 số,Loa,Center,Note Phòng đổi tên
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,116,CN HOAI DUC,11699,PHONG MISSING_CN HOAI DUC,CHUNG,,,,,
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,116,CN HOAI DUC,111100116021,PHONG KHACH HANG DOANH NGHIEP_CN HOAI DUC,PHONG KHDN,021,116021,11,100,
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,116,CN HOAI DUC,112100116121,PHONG KHACH HANG CA NHAN_CN HOAI DUC,PHONG KHCN,121,116121,12,100,
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,116,CN HOAI DUC,112100116150,PGD AN KHANH_CN HOAI DUC,PHONG GIAO DICH,150,116150,12,100,
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,116,CN HOAI DUC,112100116151,PGD NAM THANH CONG_CN HOAI DUC,PHONG GIAO DICH,151,116151,12,100,
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,116,CN HOAI DUC,112100116152,PGD TAN TAY DO_CN HOAI DUC,PHONG GIAO DICH,152,116152,12,100,
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,116,CN HOAI DUC,112100116154,PGD DAN PHUONG_CN HOAI DUC,PHONG GIAO DICH,154,116154,12,100,
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,116,CN HOAI DUC,114600116335,PHONG QUAN LY RUI RO_CN HOAI DUC,TTHTTT_PHONG QLRR,335,116335,14,600,
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,116,CN HOAI DUC,115600116440,PGD KHACH HANG_CN HOAI DUC,TTHTTT_PHONG GDKH,440,116440,15,600,
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,116,CN HOAI DUC,115600116446,PHONG QUAN TRI TIN DUNG_CN HOAI DUC,TTHTTT_PHONG QTTD,446,116446,15,600,
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,116,CN HOAI DUC,117700116618,PHONG QUAN LY NOI BO_CN HOAI DUC,CHUNG,618,116618,17,700,
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,116,CN HOAI DUC,119000116000,PHONG CHUNG_CN HOAI DUC,CHUNG,000,116000,19,000,
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,116,CN HOAI DUC,120700116950,BAN GIAM DOC_CN HOAI DUC,CHUNG,950,116950,20,700,
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,118,CN BAC HA,11899,PHONG MISSING_CN BAC HA,CHUNG,,,,,
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,118,CN BAC HA,111100118021,PHONG KHACH HANG DOANH NGHIEP_CN BAC HA,PHONG KHDN,021,118021,11,100,
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,118,CN BAC HA,112100118121,PHONG KHACH HANG CA NHAN_CN BAC HA,PHONG KHCN,121,118121,12,100,
1,BIDV_REGION,51,DLPB-KHU VUC HA NOI,11001,DLPB-KHU VUC HA NOI L3,1023,HA NOI,118,CN BAC HA,112100118150,PGD TRUNG YEN_CN BAC HA,PHONG GIAO DICH,150,118150,12,100,
