LEVEL_06_CODE ,Loa (mã khối),Tên khối
7199,,
117000071000,17.0,KHOI HO TRO
117000071764,17.0,KHOI HO TRO
117200071000,17.0,KHOI HO TRO
117400071000,17.0,KHOI HO TRO
117400071751,17.0,KHOI HO TRO
117400071752,17.0,KHOI HO TRO
117400071753,17.0,KHOI HO TRO
117400071754,17.0,KHOI HO TRO
117400071757,17.0,KHOI HO TRO
117400071758,17.0,KHOI HO TRO
117400071759,17.0,KHOI HO TRO
117400071760,17.0,KHOI HO TRO
117400071761,17.0,KHOI HO TRO
117400071764,17.0,KHOI HO TRO
117400071950,17.0,KHOI HO TRO
117400071999,17.0,KHOI HO TRO
7299,,
117500072000,17.0,KHOI HO TRO
117500072770,17.0,KHOI HO TRO
117500072771,17.0,KHOI HO TRO
117500072773,17.0,KHOI HO TRO
117500072774,17.0,KHOI HO TRO
117500072775,17.0,KHOI HO TRO
117500072776,17.0,KHOI HO TRO
117500072777,17.0,KHOI HO TRO
117500072778,17.0,KHOI HO TRO
117500072782,17.0,KHOI HO TRO
7399,,
117500073000,17.0,KHOI HO TRO
117500073680,17.0,KHOI HO TRO
117500073745,17.0,KHOI HO TRO
117500073746,17.0,KHOI HO TRO
117500073747,17.0,KHOI HO TRO
7499,,
117500074000,17.0,KHOI HO TRO
13199,,
117500131000,17.0,KHOI HO TRO
117500131016,17.0,KHOI HO TRO
117500131030,17.0,KHOI HO TRO
117500131140,17.0,KHOI HO TRO
117500131210,17.0,KHOI HO TRO
117500131310,17.0,KHOI HO TRO
117500131340,17.0,KHOI HO TRO
117500131410,17.0,KHOI HO TRO
117500131470,17.0,KHOI HO TRO
117500131652,17.0,KHOI HO TRO
117500131653,17.0,KHOI HO TRO
117500131680,17.0,KHOI HO TRO
117500131710,17.0,KHOI HO TRO
117500131720,17.0,KHOI HO TRO
117500131740,17.0,KHOI HO TRO
117500131741,17.0,KHOI HO TRO
117500131742,17.0,KHOI HO TRO
117500131760,17.0,KHOI HO TRO
87899,,
99099,,
99199,,
99899,,
110100990250,10.0,KHOI DAU TU
110300990000,10.0,KHOI DAU TU
111000990012,11.0,KHOI BAN BUON
111000990016,11.0,KHOI BAN BUON
111000990040,11.0,KHOI BAN BUON
111100990012,11.0,KHOI BAN BUON
111100990016,11.0,KHOI BAN BUON
111100990040,11.0,KHOI BAN BUON
111300990000,11.0,KHOI BAN BUON
111300990012,11.0,KHOI BAN BUON
111300990015,11.0,KHOI BAN BUON
111300990016,11.0,KHOI BAN BUON
111300990030,11.0,KHOI BAN BUON
111300990070,11.0,KHOI BAN BUON
111400990012,11.0,KHOI BAN BUON
111400990040,11.0,KHOI BAN BUON
111500990017,11.0,KHOI BAN BUON
111500990018,11.0,KHOI BAN BUON
111500990040,11.0,KHOI BAN BUON
112000990110,12.0,KHOI BAN LE
112000990130,12.0,KHOI BAN LE
112000990140,12.0,KHOI BAN LE
112000990180,12.0,KHOI BAN LE
112100990180,12.0,KHOI BAN LE
112100990190,12.0,KHOI BAN LE
112100999190,12.0,KHOI BAN LE
112200990110,12.0,KHOI BAN LE
112200990130,12.0,KHOI BAN LE
112300990000,12.0,KHOI BAN LE
112300990110,12.0,KHOI BAN LE
112300990130,12.0,KHOI BAN LE
112300990140,12.0,KHOI BAN LE
112400990180,12.0,KHOI BAN LE
112500990180,12.0,KHOI BAN LE
112500990192,12.0,KHOI BAN LE
113000990210,13.0,KHOI KINH DOANH VON VA TIEN TE
113300990000,13.0,KHOI KINH DOANH VON VA TIEN TE
113400990210,13.0,KHOI KINH DOANH VON VA TIEN TE
114200990330,14.0,KHOI QUAN LY RUI RO
114200990340,14.0,KHOI QUAN LY RUI RO
114500990320,14.0,KHOI QUAN LY RUI RO
115000990430,15.0,KHOI TAC NGHIEP
115200990410,15.0,KHOI TAC NGHIEP
115200990420,15.0,KHOI TAC NGHIEP
115200990430,15.0,KHOI TAC NGHIEP
115500990430,15.0,KHOI TAC NGHIEP
115500990460,15.0,KHOI TAC NGHIEP
115500990470,15.0,KHOI TAC NGHIEP
115500998460,15.0,KHOI TAC NGHIEP
116000990530,16.0,KHOI TAI CHINH-KE TOAN
116500990510,16.0,KHOI TAI CHINH-KE TOAN
116500990530,16.0,KHOI TAI CHINH-KE TOAN
116500990540,16.0,KHOI TAI CHINH-KE TOAN
116500990560,16.0,KHOI TAI CHINH-KE TOAN
117400990690,17.0,KHOI HO TRO
117500990601,17.0,KHOI HO TRO
117500990620,17.0,KHOI HO TRO
117500990621,17.0,KHOI HO TRO
117500990640,17.0,KHOI HO TRO
117500990651,17.0,KHOI HO TRO
117500990652,17.0,KHOI HO TRO
117500990670,17.0,KHOI HO TRO
117500990730,17.0,KHOI HO TRO
117500990790,17.0,KHOI HO TRO
117500990791,17.0,KHOI HO TRO
117500990792,17.0,KHOI HO TRO
117500990999,17.0,KHOI HO TRO
117500992000,17.0,KHOI HO TRO
