Lv0,Lv1,Lv2,Lv3,Lv4,LvPK,Size
1.22401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.11101E+11,90,198
1.22401E+11,1.174E+11,1.16501E+11,1.16501E+11,1.12301E+11,31,17488
1.22401E+11,1.174E+11,1.17401E+11,1.22501E+11,1.12201E+12,90,0
1.174E+11,1.174E+11,1.17401E+11,1.17501E+11,1.11101E+11,61,8
1.22401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.11301E+11,61,0
1.17501E+11,1.17501E+11,1.17501E+11,1.17501E+11,1.13101E+12,51,1629
1.17401E+11,1.17401E+11,1.17401E+11,1.22501E+11,1.10101E+11,15,1014
1.22501E+11,1.22501E+11,1.22501E+11,1.22501E+11,1.11301E+11,11,17407785
1.17401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.10101E+11,22,40216
1.174E+11,1.174E+11,1.17401E+11,1.16501E+11,1.11301E+11,90,251
1.22401E+11,1.174E+11,1.16501E+11,1.16501E+11,1.12201E+12,12,10834
1.17401E+11,1.17401E+11,1.17401E+11,1.15501E+11,1.11301E+11,14,56826
1.17401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.11301E+11,23,1143429
1.12301E+11,1.12301E+11,1.12301E+11,1.12301E+11,1.12301E+11,15,8067415
1.22401E+11,1.174E+11,1.15501E+11,1.15501E+11,1.12201E+12,23,0
1.22401E+11,1.21501E+11,1.21501E+11,1.21501E+11,1.10101E+11,15,2
1.22401E+11,1.174E+11,1.17401E+11,1.22501E+11,1.12201E+12,13,0
1.15201E+11,1.15201E+11,1.15201E+11,1.15201E+11,1.15201E+11,11,184409101
1.22401E+11,1.174E+11,1.22501E+11,1.22501E+11,1.12301E+11,13,19412
1.17401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.12201E+11,51,15
1.22401E+11,1.174E+11,1.17401E+11,1.11501E+11,1.11101E+11,31,0
1.22401E+11,1.174E+11,1.17401E+11,1.22501E+11,1.11301E+11,41,5
1.22401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.12201E+12,31,26
1.22401E+11,1.174E+11,1.16501E+11,1.16501E+11,1.11301E+11,12,27137
1.22401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.10101E+11,61,0
1.174E+11,1.174E+11,1.17401E+11,1.12501E+11,1.12301E+11,12,564448
1.17401E+11,1.17401E+11,1.17401E+11,1.15501E+11,1.12201E+12,41,0
1.22401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.12201E+12,22,82
1.22401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.13101E+12,21,332
1.174E+11,1.174E+11,1.14501E+11,1.14501E+11,1.12301E+11,22,220323
1.22401E+11,1.174E+11,1.12501E+11,1.12501E+11,1.12201E+12,23,42705
1.22401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.12201E+12,61,0
1.174E+11,1.174E+11,1.17501E+11,1.17501E+11,1.12301E+11,12,3181318
1.174E+11,1.174E+11,1.17501E+11,1.17501E+11,1.13101E+12,21,350651
1.174E+11,1.174E+11,1.17401E+11,1.17501E+11,1.11101E+11,31,1005
1.22401E+11,1.174E+11,1.22501E+11,1.22501E+11,1.10101E+11,11,3438
1.17401E+11,1.17401E+11,1.17401E+11,1.22501E+11,1.11101E+11,24,0
1.174E+11,1.174E+11,1.17501E+11,1.17501E+11,1.13101E+12,90,10265
1.22401E+11,1.17401E+11,1.17401E+11,1.12301E+11,1.12301E+11,41,219
1.22401E+11,1.22201E+11,1.22201E+11,1.22201E+11,1.22201E+11,31,312797
1.22401E+11,1.14501E+11,1.14501E+11,1.14501E+11,1.13101E+12,31,768
1.22401E+11,1.17401E+11,1.17401E+11,1.12501E+11,1.12301E+11,99,18343
1.17401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.11101E+11,99,38082
1.22401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.11101E+11,22,2223
1.22401E+11,1.17401E+11,1.17401E+11,1.15501E+11,1.11301E+11,19,20
1.22401E+11,1.174E+11,1.17401E+11,1.12501E+11,1.13101E+12,24,0
1.22401E+11,1.174E+11,1.14501E+11,1.14501E+11,1.11301E+11,19,3195
1.22401E+11,1.174E+11,1.15501E+11,1.15501E+11,1.11301E+11,22,246139
1.174E+11,1.174E+11,1.11501E+11,1.11501E+11,1.12201E+12,61,10
1.22401E+11,1.174E+11,1.12201E+12,1.12201E+12,1.12201E+12,24,34136
1.22401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.10101E+11,15,0
1.22401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.10101E+11,22,0
1.174E+11,1.174E+11,1.19501E+11,1.19501E+11,1.19501E+11,61,142
1.22401E+11,1.174E+11,1.14501E+11,1.14501E+11,1.10101E+11,14,0
1.11501E+11,1.11501E+11,1.11501E+11,1.11501E+11,1.12301E+11,23,87496
1.22401E+11,1.174E+11,1.17401E+11,1.11501E+11,1.12201E+11,12,0
1.22401E+11,1.174E+11,1.17501E+11,1.17501E+11,1.11301E+11,99,24273
1.17401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.11301E+11,90,162691
1.22401E+11,1.17401E+11,1.17401E+11,1.17501E+11,1.17501E+11,31,766
1.12501E+11,1.12501E+11,1.12501E+11,1.12501E+11,1.10101E+11,13,0
1.22401E+11,1.11101E+11,1.11101E+11,1.11101E+11,1.11101E+11,61,6506
1.22401E+11,1.174E+11,1.20501E+11,1.20501E+11,1.20501E+11,14,4467
1.22401E+11,1.174E+11,1.15501E+11,1.15501E+11,1.11301E+11,61,4
1.22401E+11,1.17401E+11,1.17401E+11,1.16501E+11,1.12201E+12,15,1
1.17401E+11,1.17401E+11,1.17401E+11,1.15501E+11,1.11301E+11,23,126851
1.22401E+11,1.17401E+11,1.17401E+11,1.22501E+11,1.22501E+11,22,121907
1.22401E+11,1.17401E+11,1.17401E+11,1.15501E+11,1.13101E+12,22,0
1.15501E+11,1.15501E+11,1.15501E+11,1.15501E+11,1.12201E+12,23,142723
1.22401E+11,1.15501E+11,1.15501E+11,1.15501E+11,1.13101E+12,99,0
