pkc3,ten pkc3,pkc2,tenpkc2
11,KHACH HANG DOANH NGHIEP LON,1,KHOI BAN BUON
12,KHACH HANG DOANH NGHIEP VUA VA NHO (SMEs),1,KHOI BAN BUON
13,KHACH HANG DINH CHE TAI CHINH,1,KHOI BAN BUON
14,KHACH HANG DOANH NGHIEP CO VON DAU TU NUOC NGOAI (FIE),1,KHOI BAN BUON
15,KHACH HANG NGUON VON UY THAC QUOC TE,1,KHOI BAN BUON
19,KHACH HANG AO KHOI BAN BUON,1,KHOI BAN BUON
24,KHACH HANG DOANH NGHIEP QUY MO SIEU NHO (ME),1,KHOI BAN BUON
21,KHACH HANG CA NHAN THONG THUONG,2,KHOI BAN LE
22,KHACH HANG CA NHAN VIP,2,KHOI BAN LE
23,KHACH HANG CA NHAN THAN THIET,2,KHOI BAN LE
31,KHACH HANG KINH DOANH VON VA TIEN TE,3,KHOI KINH DOANH VON VA TIEN TE
41,KHACH HANG DAU TU,4,KHOI DAU TU
51,SO NGAN HANG,5,KHOI TRUNG TAM VON
52,TRUNG TAM FTP,5,KHOI TRUNG TAM VON
61,BO PHAN CHUNG,6,KHOI BO PHAN CHUNG
99,UNALLOCABLE,6,KHOI BO PHAN CHUNG
90,KHACH HANG KHAC,9,KHOI KHAC
